x,seasonal,trend,remainder,remainder_l1,remainder_l2,anomaly,observed,Zone
1991.5,-2353071.1967283445,-152362.1603064893,2505433.3570348336,-9039020.260764131,10698579.184366552,No,0,NW
1991.5833333333335,-2147101.1517575015,-151924.44375338856,35565789696.05495,-9039020.260764131,10698579.184366552,No,35563490670.459435,NW
1991.6666666666667,519656.6792987457,-151486.7272002878,893917884535.5308,-9039020.260764131,10698579.184366552,Yes,893918252705.4829,NW
1991.75,183007.10193436212,-151049.01064718704,-31958.091287175077,-9039020.260764131,10698579.184366552,No,0,NW
1991.8333333333335,82255.43860890517,-150611.29409408628,68355.8554851811,-9039020.260764131,10698579.184366552,No,0,NW
1991.9166666666667,-1123246.8986867089,-150173.5775409855,1273420.4762276944,-9039020.260764131,10698579.184366552,No,0,NW
1992,2058314.0495669178,-149735.86098788475,-1908578.1885790331,-9039020.260764131,10698579.184366552,No,0,NW
1992.0833333333335,-680481.3173664269,-149298.144434784,829779.4618012109,-9039020.260764131,10698579.184366552,No,0,NW
1992.1666666666667,-1169470.0165848525,-148860.42788168322,1318330.4444665357,-9039020.260764131,10698579.184366552,No,0,NW
1992.25,1170976.1297533938,-146338.21886477523,-1024637.9108886186,-9039020.260764131,10698579.184366552,No,0,NW
1992.3333333333335,1851419.9072602855,-143816.00984786727,-1707603.8974124182,-9039020.260764131,10698579.184366552,No,0,NW
1992.4166666666667,1607740.9018465276,-141293.80083095928,-1466447.1010155682,-9039020.260764131,10698579.184366552,No,0,NW
1992.5,-2353071.1967283445,-138771.5918140513,2491842.788542396,-9039020.260764131,10698579.184366552,No,0,NW
1992.5833333333335,-2147101.1517575015,-136249.3827971433,2283350.534554645,-9039020.260764131,10698579.184366552,No,0,NW
1992.6666666666667,519656.6792987457,-133727.17378023535,-385929.50551851036,-9039020.260764131,10698579.184366552,No,0,NW
1992.75,183007.10193436212,-131204.96476332736,-51802.13717103476,-9039020.260764131,10698579.184366552,No,0,NW
1992.8333333333335,82255.43860890517,-128682.75574641937,46427.3171375142,-9039020.260764131,10698579.184366552,No,0,NW
1992.9166666666667,-1123246.8986867089,-126160.54672951139,1249407.4454162202,-9039020.260764131,10698579.184366552,No,0,NW
1993,2058314.0495669178,-123638.33771260342,-1934675.7118543144,-9039020.260764131,10698579.184366552,No,0,NW
1993.0833333333335,-680481.3173664269,-121116.12869569543,3100400177.9743123,-9039020.260764131,10698579.184366552,No,3099598580.52825,NW
1993.1666666666667,-1169470.0165848525,-118593.91967878745,1288063.93626364,-9039020.260764131,10698579.184366552,No,0,NW
1993.25,1170976.1297533938,-116071.71066187946,-1054904.4190915143,-9039020.260764131,10698579.184366552,No,0,NW
1993.3333333333335,1851419.9072602855,-113549.50164497149,-1737870.405615314,-9039020.260764131,10698579.184366552,No,0,NW
1993.4166666666667,1607740.9018465276,-110208.24649087239,70703822165.31612,-9039020.260764131,10698579.184366552,No,70705319697.97147,NW
1993.5,-2353071.1967283445,-106866.99133677331,2459938.1880651177,-9039020.260764131,10698579.184366552,No,0,NW
1993.5833333333335,-2147101.1517575015,-103525.73618267421,2250626.887940176,-9039020.260764131,10698579.184366552,No,0,NW
1993.6666666666667,519656.6792987457,-100184.48102857512,-419472.1982701706,-9039020.260764131,10698579.184366552,No,0,NW
1993.75,183007.10193436212,-96843.22587447603,-86163.87605988608,-9039020.260764131,10698579.184366552,No,0,NW
1993.8333333333335,82255.43860890517,-93501.97072037694,11246.532111471766,-9039020.260764131,10698579.184366552,No,0,NW
1993.9166666666667,-1123246.8986867089,-90160.71556627784,1213407.6142529866,-9039020.260764131,10698579.184366552,No,0,NW
1994,2058314.0495669178,-86819.46041217876,-1971494.5891547392,-9039020.260764131,10698579.184366552,No,0,NW
1994.0833333333335,-680481.3173664269,-83478.20525807966,763959.5226245066,-9039020.260764131,10698579.184366552,No,0,NW
1994.1666666666667,-1169470.0165848525,-80136.95010398056,1249606.966688833,-9039020.260764131,10698579.184366552,No,0,NW
1994.25,1170976.1297533938,-76795.69494988148,-1094180.4348035124,-9039020.260764131,10698579.184366552,No,0,NW
1994.3333333333335,1851419.9072602855,-73454.43979578238,-1777965.4674645031,-9039020.260764131,10698579.184366552,No,0,NW
