Year,Month,Zone,activity_degC_days_m2,mean_area_km2,mean_duration_days,mean_intensity_degC,number_of_events,sum_area_km2
1988,4,SW,0.0,,,,,
1988,5,NW,0.0,,,,,
1988,5,S,0.0,,,,,
1988,5,SW,0.0,,,,,
1988,6,NW,6034207914.769803,89.15451550496645,5.0,2.0732250213623047,1.0,89.15451550496645
1988,6,S,0.0,,,,,
1988,6,SW,0.0,,,,,
1988,7,NW,4736208700.0783825,95.84966563786587,5.0,1.6398169994354248,1.0,95.84966563786587
1988,7,S,1078956802.049064,35.39182665386666,8.0,1.7511425018310547,1.0,35.39182665386666
1988,7,SW,0.0,,,,,
1988,8,NW,0.0,,,,,
1988,8,S,8468666777.838469,,,1.9635159969329834,,
1988,8,SW,0.0,,,,,
1988,9,NW,0.0,,,,,
1988,9,S,0.0,,,,,
1988,9,SW,0.0,,,,,
1988,10,NW,0.0,,,,,
1988,10,S,0.0,,,,,
1988,10,SW,0.0,,,,,
1988,11,NW,103362091814.23657,71.81866404779781,9.833333333333334,1.5549205541610718,12.0,861.8239685735738
1988,11,S,0.0,,,,,
1988,11,SW,148993588801.7571,51.260782678718876,11.857142857142858,1.5528382062911987,14.0,717.6509575020642
1988,12,NW,8374683609.201977,,,1.2599422931671143,,
1988,12,S,0.0,,,,,
1988,12,SW,9684493421.635754,,,1.34402334690094,,
1989,1,NW,5501910528.018648,94.17631837311566,5.0,0.9507481455802917,2.0,188.35263674623133
1989,1,S,0.0,,,,,
1989,1,SW,0.0,,,,,
1989,2,NW,11408851300.212358,73.49064072031774,6.333333333333333,1.0275508165359497,3.0,220.47192216095323
1989,2,S,0.0,,,,,
1989,2,SW,9550103715.042212,56.707639007228934,5.666666666666667,0.9343156218528748,3.0,170.1229170216868
1989,3,NW,15151294704.18602,64.83100072641079,6.0,1.036534309387207,4.0,259.32400290564317
1989,3,S,0.0,,,,,
1989,3,SW,0.0,,,,,
1989,4,NW,0.0,,,,,
1989,4,S,0.0,,,,,
1989,4,SW,0.0,,,,,
1989,5,NW,41302964837.91681,93.17195779948588,8.8,1.8171910047531128,5.0,465.85978899742935
1989,5,S,0.0,,,,,
1989,5,SW,8086960181.116023,43.81017872178258,6.0,1.323451042175293,2.0,87.62035744356515
1989,6,NW,73398762839.98546,86.47046631476482,6.1,1.7420066595077515,10.0,864.7046631476483
1989,6,S,0.0,,,,,
1989,6,SW,1489493172.9820719,,,1.2187738418579102,,
1989,7,NW,22378444578.26822,70.70853945991124,32.0,1.44424307346344,8.0,565.6683156792899
1989,7,S,80001242280.46738,33.146081476762326,17.833333333333332,2.209437131881714,6.0,198.87648886057394
1989,7,SW,173457801750.14584,46.00967039949132,31.846153846153847,1.5831336975097656,13.0,598.1257151933871
1989,8,NW,763972028517.5808,79.54894159706049,21.545454545454547,1.7933462858200073,22.0,1750.0767151353307
1989,8,S,82117500738.04662,32.023208888210064,5.0,2.1062350273132324,1.0,32.023208888210064
1989,8,SW,408718115068.37537,48.01274695926656,17.25,2.062160015106201,4.0,192.05098783706623
1989,9,NW,0.0,,,,,
1989,9,S,0.0,,,,,
1989,9,SW,0.0,,,,,
1989,10,NW,6579059303.158409,62.311128261543374,6.0,1.829066276550293,2.0,124.62225652308675
1989,10,S,62490176065.45884,33.37065599447273,11.8,1.8233354091644287,5.0,166.85327997236365
1989,10,SW,97853938210.91382,42.686870470718006,9.0,1.6885087490081787,12.0,512.242445648616
1989,11,NW,5460328387.784783,,,1.518044114112854,,
1989,11,S,4270705314.013714,,,1.7328343391418457,,
1989,11,SW,16998868370.642637,,,1.7869553565979004,,
1989,12,NW,164559202976.74094,77.15053655371479,10.947368421052632,1.332692265510559,19.0,1465.8601945205808
1989,12,S,0.0,,,,,
1989,12,SW,25151726386.41594,53.56856138316649,7.4,1.0899556875228882,5.0,267.84280691583245
1990,1,NW,166639057621.70795,81.16678387394548,13.470588235294118,1.1135308742523193,34.0,2759.670651714146
1990,1,S,0.0,,,,,
1990,1,SW,23016239575.228027,51.10199054400715,13.0,0.9739251136779785,3.0,153.30597163202145
1990,2,NW,331724383199.35785,76.90407118131186,14.173913043478262,1.2142459154129028,23.0,1768.793637170173
1990,2,S,0.0,,,,,
1990,2,SW,41630353922.572296,52.97032620848074,9.444444444444445,1.051902413368225,9.0,476.7329358763267
1990,3,NW,202181271144.5429,76.0565520822479,8.19047619047619,1.1657769680023193,21.0,1597.187593727206
1990,3,S,4030091447.111765,35.39182665386684,6.0,1.090137004852295,1.0,35.39182665386684
1990,3,SW,52578047925.40661,46.613120415464074,5.333333333333333,0.9798951745033264,12.0,559.3574449855689
1990,4,NW,0.0,,,,,
1990,4,S,0.0,,,,,
1990,4,SW,0.0,,,,,
1990,5,NW,97795065471.95177,82.75187294954927,9.272727272727273,1.6727027893066406,11.0,910.270602445042
1990,5,S,4460720256.1856785,35.39182665386666,6.0,1.206621766090393,1.0,35.39182665386666
1990,5,SW,34388527355.18059,56.7079917635658,13.333333333333334,1.3718736171722412,3.0,170.1239752906974
1990,6,NW,1003016091.0845616,,,1.6851367950439453,,
1990,6,S,0.0,,,,,
1990,6,SW,0.0,,,,,
1990,7,NW,364455452146.5231,77.47291928957752,15.068965517241379,1.718558669090271,29.0,2246.714659397748
1990,7,S,33613868293.385223,32.02320888821012,10.333333333333334,1.7300721406936646,3.0,96.06962666463035
1990,7,SW,149010388630.0297,47.89512321423869,13.285714285714286,1.6533914804458618,14.0,670.5317249993416
1990,8,NW,162228359430.6775,69.02905722023768,7.1,1.6743175983428955,10.0,690.2905722023768
1990,8,S,35114422238.936714,33.70751777103844,6.0,2.1784069538116455,4.0,134.83007108415376
1990,8,SW,112012091238.62247,43.937780514853785,6.461538461538462,1.5676325559616089,13.0,571.1911466930991
1990,9,NW,0.0,,,,,
1990,9,S,0.0,,,,,
1990,9,SW,56942452134.08332,46.71672283440454,7.090909090909091,1.529259204864502,11.0,513.8839511784499
1990,10,NW,0.0,,,,,
1990,10,S,0.0,,,,,
1990,10,SW,19102350319.440125,,,1.6490617990493774,,
1990,11,NW,0.0,,,,,
1990,11,S,0.0,,,,,
1990,11,SW,0.0,,,,,
1990,12,NW,0.0,,,,,
1990,12,S,0.0,,,,,
1990,12,SW,0.0,,,,,
1991,1,NW,0.0,,,,,
1991,1,S,0.0,,,,,
1991,1,SW,0.0,,,,,
1991,2,NW,0.0,,,,,
1991,2,S,0.0,,,,,
1991,2,SW,0.0,,,,,
1991,3,NW,0.0,,,,,
1991,3,S,0.0,,,,,
1991,3,SW,0.0,,,,,
1991,4,NW,0.0,,,,,
1991,4,S,0.0,,,,,
1991,4,SW,0.0,,,,,
1991,5,NW,0.0,,,,,
1991,5,S,0.0,,,,,
1991,5,SW,0.0,,,,,
1991,6,NW,0.0,,,,,
1991,6,S,0.0,,,,,
1991,6,SW,0.0,,,,,
1991,7,NW,0.0,,,,,
1991,7,S,0.0,,,,,
1991,7,SW,0.0,,,,,
1991,8,NW,33748650440.8118,77.02869402011048,25.26923076923077,1.7557637691497803,26.0,2002.7460445228724
1991,8,S,90917844284.40147,32.584645182486206,15.333333333333334,2.226365566253662,6.0,195.50787109491725
1991,8,SW,147367165349.46393,47.89512321423869,29.785714285714285,2.129885673522949,14.0,670.5317249993416
1991,9,NW,839232322377.6404,81.6052977439626,17.25,2.0375819206237793,4.0,326.4211909758504
1991,9,S,55089148803.304214,32.865363329624266,6.5,1.568298578262329,4.0,131.46145331849706
1991,9,SW,353491930268.4166,52.22352646783737,14.0,1.8175634145736694,1.0,52.22352646783737
1991,10,NW,0.0,,,,,
1991,10,S,0.0,,,,,
1991,10,SW,0.0,,,,,
1991,11,NW,0.0,,,,,
1991,11,S,0.0,,,,,
1991,11,SW,0.0,,,,,
1991,12,NW,0.0,,,,,
1991,12,S,0.0,,,,,
1991,12,SW,0.0,,,,,
1992,1,NW,0.0,,,,,
1992,1,S,0.0,,,,,
1992,1,SW,0.0,,,,,
1992,2,NW,0.0,,,,,
1992,2,S,0.0,,,,,
1992,2,SW,0.0,,,,,
1992,3,NW,0.0,,,,,
1992,3,S,0.0,,,,,
1992,3,SW,0.0,,,,,
1992,4,NW,0.0,,,,,
1992,4,S,0.0,,,,,
1992,4,SW,0.0,,,,,
1992,5,NW,0.0,,,,,
1992,5,S,0.0,,,,,
1992,5,SW,0.0,,,,,
1992,6,NW,0.0,,,,,
1992,6,S,0.0,,,,,
1992,6,SW,0.0,,,,,
1992,7,NW,0.0,,,,,
1992,7,S,0.0,,,,,
1992,7,SW,0.0,,,,,
1992,8,NW,0.0,,,,,
1992,8,S,0.0,,,,,
1992,8,SW,0.0,,,,,
1992,9,NW,0.0,,,,,
1992,9,S,0.0,,,,,
1992,9,SW,0.0,,,,,
1992,10,NW,0.0,,,,,
1992,10,S,0.0,,,,,
1992,10,SW,0.0,,,,,
1992,11,NW,0.0,,,,,
1992,11,S,0.0,,,,,
1992,11,SW,0.0,,,,,
1992,12,NW,0.0,,,,,
1992,12,S,0.0,,,,,
1992,12,SW,0.0,,,,,
1993,1,NW,0.0,,,,,
1993,1,S,0.0,,,,,
1993,1,SW,0.0,,,,,
1993,2,NW,0.0,,,,,
1993,2,S,0.0,,,,,
1993,2,SW,0.0,,,,,
