year,duration,start_time,end_time,area,lat,lon
1987,5,552614400000000000,553046400000000000,32023208.888210166,36.875,351.375
1987,5,555120000000000000,555552000000000000,32023208.888210166,36.875,351.375
1987,15,558835200000000000,560131200000000000,32023208.888210166,36.875,351.375
1989,21,616896000000000000,618710400000000000,32023208.888210166,36.875,351.375
1989,15,623635200000000000,624931200000000000,32023208.888210166,36.875,351.375
1990,15,647740800000000000,649036800000000000,32023208.888210166,36.875,351.375
1990,5,650160000000000000,650592000000000000,32023208.888210166,36.875,351.375
1991,15,682300800000000000,683596800000000000,32023208.888210166,36.875,351.375
1991,11,685065600000000000,686016000000000000,32023208.888210166,36.875,351.375
1993,6,743731200000000000,744249600000000000,32023208.888210166,36.875,351.375
1995,7,791683200000000000,792288000000000000,32023208.888210166,36.875,351.375
1995,7,796953600000000000,797558400000000000,32023208.888210166,36.875,351.375
1995,23,815270400000000000,817257600000000000,32023208.888210166,36.875,351.375
1996,9,820627200000000000,821404800000000000,32023208.888210166,36.875,351.375
1996,6,834710400000000000,835228800000000000,32023208.888210166,36.875,351.375
1996,8,836006400000000000,836697600000000000,32023208.888210166,36.875,351.375
1996,9,837043200000000000,837820800000000000,32023208.888210166,36.875,351.375
1997,8,857174400000000000,857865600000000000,32023208.888210166,36.875,351.375
1997,24,858211200000000000,860284800000000000,32023208.888210166,36.875,351.375
1997,11,860716800000000000,861667200000000000,32023208.888210166,36.875,351.375
1997,8,862185600000000000,862876800000000000,32023208.888210166,36.875,351.375
1997,5,870307200000000000,870739200000000000,32023208.888210166,36.875,351.375
1997,14,874022400000000000,875232000000000000,32023208.888210166,36.875,351.375
1997,5,876355200000000000,876787200000000000,32023208.888210166,36.875,351.375
1998,11,887760000000000000,888710400000000000,32023208.888210166,36.875,351.375
1998,12,888969600000000000,890006400000000000,32023208.888210166,36.875,351.375
1998,14,890870400000000000,892080000000000000,32023208.888210166,36.875,351.375
1999,6,923270400000000000,923788800000000000,32023208.888210166,36.875,351.375
2000,10,965779200000000000,966643200000000000,32023208.888210166,36.875,351.375
2002,6,1016755200000000000,1017273600000000000,32023208.888210166,36.875,351.375
2003,8,1060300800000000000,1060992000000000000,32023208.888210166,36.875,351.375
2005,19,1118361600000000000,1120003200000000000,32023208.888210166,36.875,351.375
2006,19,1149638400000000000,1151280000000000000,32023208.888210166,36.875,351.375
2006,26,1152576000000000000,1154822400000000000,32023208.888210166,36.875,351.375
2006,11,1157241600000000000,1158192000000000000,32023208.888210166,36.875,351.375
2006,23,1162425600000000000,1164412800000000000,32023208.888210166,36.875,351.375
2007,5,1168992000000000000,1169424000000000000,32023208.888210166,36.875,351.375
2007,8,1192579200000000000,1193270400000000000,32023208.888210166,36.875,351.375
2007,14,1194307200000000000,1195516800000000000,32023208.888210166,36.875,351.375
2007,6,1198713600000000000,1199232000000000000,32023208.888210166,36.875,351.375
2008,6,1201392000000000000,1201910400000000000,32023208.888210166,36.875,351.375
2008,24,1203033600000000000,1205107200000000000,32023208.888210166,36.875,351.375
2009,8,1246060800000000000,1246752000000000000,32023208.888210166,36.875,351.375
2009,6,1250467200000000000,1250985600000000000,32023208.888210166,36.875,351.375
2009,5,1256688000000000000,1257120000000000000,32023208.888210166,36.875,351.375
2010,13,1271894400000000000,1273017600000000000,32023208.888210166,36.875,351.375
2010,8,1281312000000000000,1282003200000000000,32023208.888210166,36.875,351.375
2010,8,1282608000000000000,1283299200000000000,32023208.888210166,36.875,351.375
2011,6,1301356800000000000,1301875200000000000,32023208.888210166,36.875,351.375
2011,65,1302480000000000000,1308096000000000000,32023208.888210166,36.875,351.375
2011,26,1317168000000000000,1319414400000000000,32023208.888210166,36.875,351.375
2012,5,1336867200000000000,1337299200000000000,32023208.888210166,36.875,351.375
2013,10,1372809600000000000,1373673600000000000,32023208.888210166,36.875,351.375
2013,20,1377820800000000000,1379548800000000000,32023208.888210166,36.875,351.375
2013,16,1379894400000000000,1381276800000000000,32023208.888210166,36.875,351.375
2014,8,1400198400000000000,1400889600000000000,32023208.888210166,36.875,351.375
2014,6,1414540800000000000,1415059200000000000,32023208.888210166,36.875,351.375
2015,14,1430784000000000000,1431993600000000000,32023208.888210166,36.875,351.375
2015,30,1432339200000000000,1434931200000000000,32023208.888210166,36.875,351.375
2015,12,1447372800000000000,1448409600000000000,32023208.888210166,36.875,351.375
2015,29,1449792000000000000,1452297600000000000,32023208.888210166,36.875,351.375
2016,32,1452556800000000000,1455321600000000000,32023208.888210166,36.875,351.375
2016,13,1468800000000000000,1469923200000000000,32023208.888210166,36.875,351.375
2016,27,1471046400000000000,1473379200000000000,32023208.888210166,36.875,351.375
2016,5,1480982400000000000,1481414400000000000,32023208.888210166,36.875,351.375
2017,11,1494028800000000000,1494979200000000000,32023208.888210166,36.875,351.375
2017,12,1495411200000000000,1496448000000000000,32023208.888210166,36.875,351.375
2017,15,1497398400000000000,1498694400000000000,32023208.888210166,36.875,351.375
2017,5,1503619200000000000,1504051200000000000,32023208.888210166,36.875,351.375
2017,16,1509062400000000000,1510444800000000000,32023208.888210166,36.875,351.375
2017,28,1510876800000000000,1513296000000000000,32023208.888210166,36.875,351.375
2018,22,1537660800000000000,1539561600000000000,32023208.888210166,36.875,351.375
2020,20,1580428800000000000,1582156800000000000,32023208.888210166,36.875,351.375
2020,16,1590278400000000000,1591660800000000000,32023208.888210166,36.875,351.375
2020,9,1595116800000000000,1595894400000000000,32023208.888210166,36.875,351.375
2020,5,1606780800000000000,1607212800000000000,32023208.888210166,36.875,351.375
2020,5,1607644800000000000,1608076800000000000,32023208.888210166,36.875,351.375
2021,26,1617667200000000000,1619913600000000000,32023208.888210166,36.875,351.375
2022,33,1671667200000000000,1674518400000000000,32023208.888210166,36.875,351.375
2023,15,1679616000000000000,1680912000000000000,32023208.888210166,36.875,351.375
2023,19,1681862400000000000,1683504000000000000,32023208.888210166,36.875,351.375
2023,5,1686268800000000000,1686700800000000000,32023208.888210166,36.875,351.375
2023,12,1687651200000000000,1688688000000000000,32023208.888210166,36.875,351.375
2023,22,1696377600000000000,1698278400000000000,32023208.888210166,36.875,351.375
2023,85,1701993600000000000,1709337600000000000,32023208.888210166,36.875,351.375
2024,12,1713052800000000000,1714089600000000000,32023208.888210166,36.875,351.375
2024,71,1732233600000000000,1738368000000000000,32023208.888210166,36.875,351.375
2025,6,1740873600000000000,1741392000000000000,32023208.888210166,36.875,351.375
2025,12,1751241600000000000,1752278400000000000,32023208.888210166,36.875,351.375
2025,17,1754179200000000000,1755648000000000000,32023208.888210166,36.875,351.375
2025,18,1761091200000000000,1762646400000000000,32023208.888210166,36.875,351.375
1982,5,390614400000000000,391046400000000000,32023208.88821012,36.875,351.625
1982,10,400723200000000000,401587200000000000,32023208.88821012,36.875,351.625
1983,6,416188800000000000,416707200000000000,32023208.88821012,36.875,351.625
1983,9,438566400000000000,439344000000000000,32023208.88821012,36.875,351.625
1987,10,541641600000000000,542505600000000000,32023208.88821012,36.875,351.625
1987,11,559180800000000000,560131200000000000,32023208.88821012,36.875,351.625
1989,20,616982400000000000,618710400000000000,32023208.88821012,36.875,351.625
1989,8,623635200000000000,624326400000000000,32023208.88821012,36.875,351.625
1990,7,647827200000000000,648432000000000000,32023208.88821012,36.875,351.625
1990,5,650160000000000000,650592000000000000,32023208.88821012,36.875,351.625
1991,15,682300800000000000,683596800000000000,32023208.88821012,36.875,351.625
1991,5,685584000000000000,686016000000000000,32023208.88821012,36.875,351.625
1993,5,743731200000000000,744163200000000000,32023208.88821012,36.875,351.625
1995,5,791683200000000000,792115200000000000,32023208.88821012,36.875,351.625
1995,6,792806400000000000,793324800000000000,32023208.88821012,36.875,351.625
1995,7,796953600000000000,797558400000000000,32023208.88821012,36.875,351.625
1995,16,815270400000000000,816652800000000000,32023208.88821012,36.875,351.625
1996,9,820627200000000000,821404800000000000,32023208.88821012,36.875,351.625
1996,5,834796800000000000,835228800000000000,32023208.88821012,36.875,351.625
1996,6,836092800000000000,836611200000000000,32023208.88821012,36.875,351.625
1996,10,837043200000000000,837907200000000000,32023208.88821012,36.875,351.625
1997,24,858211200000000000,860284800000000000,32023208.88821012,36.875,351.625
1997,9,860716800000000000,861494400000000000,32023208.88821012,36.875,351.625
1997,6,862272000000000000,862790400000000000,32023208.88821012,36.875,351.625
1997,20,873849600000000000,875577600000000000,32023208.88821012,36.875,351.625
1997,6,877996800000000000,878515200000000000,32023208.88821012,36.875,351.625
1998,12,887328000000000000,888364800000000000,32023208.88821012,36.875,351.625
1998,12,888969600000000000,890006400000000000,32023208.88821012,36.875,351.625
1998,14,890870400000000000,892080000000000000,32023208.88821012,36.875,351.625
1999,5,923356800000000000,923788800000000000,32023208.88821012,36.875,351.625
2000,6,952992000000000000,953510400000000000,32023208.88821012,36.875,351.625
2000,6,958780800000000000,959299200000000000,32023208.88821012,36.875,351.625
2000,6,965779200000000000,966297600000000000,32023208.88821012,36.875,351.625
2002,5,1016755200000000000,1017187200000000000,32023208.88821012,36.875,351.625
2003,5,1056240000000000000,1056672000000000000,32023208.88821012,36.875,351.625
2003,8,1060300800000000000,1060992000000000000,32023208.88821012,36.875,351.625
2005,23,1118016000000000000,1120003200000000000,32023208.88821012,36.875,351.625
2006,19,1149638400000000000,1151280000000000000,32023208.88821012,36.875,351.625
