Year,Month,Zone,Parameter,Value
1995,6,NW,activity_degC_days_m2,0.0
1995,6,NW,mean_intensity_degC,
1995,7,NW,activity_degC_days_m2,413393387824.7494
1995,7,NW,mean_area_km2,79.67607144625413
1995,7,NW,mean_duration_days,16.956521739130434
1995,7,NW,mean_intensity_degC,1.7609130144119263
1995,7,NW,number_of_events,23.0
1995,7,NW,sum_area_km2,1832.5496432638452
1995,8,NW,activity_degC_days_m2,5994356941.32156
1995,8,NW,mean_area_km2,62.311128261543374
1995,8,NW,mean_duration_days,5.0
1995,8,NW,mean_intensity_degC,1.6665111780166626
1995,8,NW,number_of_events,2.0
1995,8,NW,sum_area_km2,124.62225652308675
1995,9,NW,activity_degC_days_m2,3186432000.8248625
1995,9,NW,mean_intensity_degC,1.328805923461914
1995,10,NW,activity_degC_days_m2,0.0
1995,10,NW,mean_intensity_degC,
1995,11,NW,activity_degC_days_m2,72794174115.00223
1995,11,NW,mean_area_km2,67.90961609833803
1995,11,NW,mean_duration_days,6.583333333333333
1995,11,NW,mean_intensity_degC,1.5258833169937134
1995,11,NW,number_of_events,12.0
1995,11,NW,sum_area_km2,814.9153931800564
1995,12,NW,activity_degC_days_m2,129766862133.00017
1995,12,NW,mean_area_km2,77.47291928957752
1995,12,NW,mean_duration_days,24.20689655172414
1995,12,NW,mean_intensity_degC,1.1826077699661255
1995,12,NW,number_of_events,29.0
1995,12,NW,sum_area_km2,2246.714659397748
1996,1,NW,activity_degC_days_m2,386309539527.7559
1996,1,NW,mean_area_km2,86.5746907254483
1996,1,NW,mean_duration_days,6.384615384615385
1996,1,NW,mean_intensity_degC,1.188761830329895
1996,1,NW,number_of_events,13.0
1996,1,NW,sum_area_km2,1125.470979430828
1996,2,NW,activity_degC_days_m2,42948058969.03428
1996,2,NW,mean_area_km2,65.67137496568373
1996,2,NW,mean_duration_days,8.0
1996,2,NW,mean_intensity_degC,1.1229503154754639
1996,2,NW,number_of_events,1.0
1996,2,NW,sum_area_km2,65.67137496568373
1996,3,NW,activity_degC_days_m2,0.0
1996,3,NW,mean_intensity_degC,
1996,4,NW,activity_degC_days_m2,5196417368.051129
1996,4,NW,mean_area_km2,89.15451550496665
1996,4,NW,mean_duration_days,5.0
1996,4,NW,mean_intensity_degC,1.785378098487854
1996,4,NW,number_of_events,1.0
1996,4,NW,sum_area_km2,89.15451550496665
1996,5,NW,activity_degC_days_m2,0.0
1996,5,NW,mean_intensity_degC,
1996,6,NW,activity_degC_days_m2,0.0
1996,6,NW,mean_intensity_degC,
1996,7,NW,activity_degC_days_m2,0.0
1996,7,NW,mean_intensity_degC,
