season,Year,NW,SW,S
SON,1999,27.484017618764575,14.790415354606704,0
SON,2000,0,0,0
SON,2001,0,17.407842155945822,0
SON,2002,55.39281813894889,34.21746553701935,0
SON,2003,25.148240128860714,16.9264813112421,0
SON,2004,0,15.164460249298319,0
SON,2005,0,37.61851921626397,0
SON,2006,66.89850428059387,42.55802168333984,21.910242219749524
SON,2007,0,24.15587509849171,21.8540985903219
SON,2008,31.39210612437197,0,10.674402962736707
SON,2009,52.11125837278638,32.91609438863809,10.67440296273671
SON,2010,27.483537980295168,11.797275551288894,11.797275551288948
SON,2011,44.18008663097282,32.57014763754961,21.950344812197827
SON,2012,44.506138782408236,50.82406410690682,0
SON,2013,51.05302705122349,29.37136726780789,21.57338044318387
SON,2014,70.55568139818068,46.238302104580534,32.584645182486256
SON,2015,54.766441032591324,34.004509488505654,10.995223702323056
SON,2016,0,11.79727555128887,11.797275551288916
SON,2017,0,24.717117104498595,22.118775700480644
SON,2018,0,26.96199245446374,10.955121109874764
SON,2019,0,0,11.23583925701281
SON,2020,20.770376087181212,12.358599547202836,10.995223702323063
SON,2021,25.469576558614868,16.54459093365311,21.34880592547343
SON,2022,77.06087000203689,36.75148324647336,22.47167851402566
SON,2023,51.819429123978985,50.00003132335094,21.629524072611467
SON,2024,52.28911937125367,31.284306121540915,10.814762036305734
SON,2025,21.89031940489997,11.797275551288894,22.75239666116371
