season,Year,NW,SW,S
SON,1999,82.45205285629373,44.37124606382011,0
SON,2000,0,0,0
SON,2001,0,34.81568431189166,0
SON,2002,525.5255199599421,137.019333989092,0
SON,2003,578.4095229637965,118.48536917869467,0
SON,2004,0,15.164460249298319,0
SON,2005,0,56.70799176356581,0
SON,2006,1097.3915885979868,480.1727704221448,175.2819377579962
SON,2007,0,61.23167374010022,98.31537184173474
SON,2008,62.784212248743955,0,10.674402962736707
SON,2009,1289.1146139111333,271.23939332311414,32.023208888210135
SON,2010,109.93415192118067,11.797275551288894,11.797275551288948
SON,2011,362.5562063791657,288.64733197967405,120.78705035576047
SON,2012,450.1176229157603,317.27977172155585,0
SON,2013,602.568778191102,284.74635455211734,97.19249925318262
SON,2014,1197.9032819651604,547.5554110864173,130.33858072994502
SON,2015,852.1250946203315,432.3984370864393,76.96656591626137
SON,2016,0,11.79727555128887,23.59455110257783
SON,2017,0,50.55680021091804,132.58432590704933
SON,2018,0,107.84796981785496,87.64096887899811
SON,2019,0,0,44.94335702805124
SON,2020,20.770376087181212,24.71719909440567,76.96656591626143
SON,2021,764.087296758446,215.07968213749047,42.69761185094686
SON,2022,1672.3039881676593,207.76733145479167,43.82048443949909
SON,2023,1126.4686579228633,334.14534216774666,108.98977480447151
SON,2024,1211.138840918484,369.5409542888612,86.51809629044587
SON,2025,65.67095821469991,11.797275551288894,99.43824443028704
