Zone,Year,activity_total,events_total,area_total_km2,intensity_mean_degC,duration_mean_days
SW,2009,794438959383.7943,41,1962.702768387722,1.7110661268234253,12.321428571428571
SW,2010,402043077008.9441,44,1978.0381663693713,1.28665577513831,7.512345679012346
SW,2011,2050881867092.2275,91,4227.180403590493,1.4862335324287415,14.081501305208201
SW,2012,558615435057.3911,35,1723.4293322995304,1.443729261557261,10.8525
SW,2013,309569755999.9226,31,1342.9064801280133,1.4625367522239685,10.34375
SW,2014,1716790739522.6685,49,2292.9842650684996,1.8802223443984984,16.528320802005013
SW,2015,930778831175.323,93,4372.006406573177,1.4085490836037529,12.081122757073844
SW,2016,1026440834126.2808,55,2411.140318508434,1.5111752301454544,11.809125656951744
SW,2017,677017763935.4706,53,2394.1550106036716,1.5100035816431046,9.061507936507937
SW,2018,135816662762.36783,11,449.9140289780117,1.5596250693003335,9.666666666666668
SW,2019,22581463003.64994,6,212.3496123428543,1.0120642979939778,6.666666666666667
SW,2020,677403407054.9452,58,2641.821365914255,1.370875404940711,11.250372023809524
SW,2021,546943332187.5612,40,1866.7507901263375,1.3978716433048248,13.288515406162464
SW,2022,604448490700.0688,62,2975.2363704294357,1.3069081008434296,13.83854009552539
SW,2023,2625817834965.8994,128,5906.975133832952,1.3956593771775563,26.135203222703222
SW,2024,1971956179749.0764,69,3249.9415703462705,1.2956190183758736,18.162715855572998
SW,2025,401889581674.18005,46,2230.5257836718906,1.284864342212677,8.646089743589744
S,1981,4679380352.144885,1,32.023208888210064,1.5519506931304932,5
S,1982,154577373460.53552,19,591.5891200430854,1.7339982986450195,7.988095238095237
S,1983,94511262269.23195,15,483.71334972264845,1.5229517817497253,6.5777777777777775
S,1984,0,0,0,NA,NA
S,1985,14951900671.15613,3,102.80686219594386,1.503852665424347,5.25
S,1986,0,0,0,NA,NA
S,1987,242489784723.00705,27,861.2549739241881,1.4900590896606445,7.659090909090909
S,1988,9547623579.887533,1,35.39182665386666,1.857329249382019,8
S,1989,366815915997.3404,28,859.5821541213039,1.815626084804535,9.61845238095238
S,1990,113578334358.66086,13,426.40695918533595,1.501152664422989,7.05
S,1991,315533457243.7925,22,664.0759837146552,1.755348563194275,11.695238095238096
S,1992,0,0,0,NA,NA
S,1993,19041280989.65789,3,99.43824443028694,1.6398207545280457,5.666666666666667
S,1994,16821658237.430408,5,166.8532799723637,0.921587347984314,5.5
S,1995,336663918528.04156,47,1451.1734562138183,1.3913456457001823,9.473665223665224
S,1996,266275413658.84247,28,900.0132362942821,1.5591077009836833,7.6342592592592595
S,1997,533351865773.7615,55,1774.745119914561,1.38157543208864,10.140338827838828
S,1998,419123210272.938,42,1243.8837672472996,1.0980039089918137,10.9375
S,1999,40428738765.60753,9,267.99024237042477,1.3412691354751587,5.511111111111111
S,2000,100814869849.85304,15,466.86673123099854,1.4083729863166807,7.375
S,2001,0,0,0,NA,NA
S,2002,57786071962.12592,17,524.1740845010082,0.9248749613761902,5.833333333333334
S,2003,131504161139.95511,15,460.1310680907482,1.71825110912323,5.961538461538462
S,2004,48659263153.045654,11,332.036660146845,1.2787063598632813,7.233333333333333
S,2005,329134624709.04974,19,611.8077576665518,1.702896555264791,9.928571428571429
S,2006,1062935370049.8541,74,2292.2121028611746,1.5493172854185104,10.621816675388104
S,2007,162067219814.32645,25,800.5772380568382,1.3663984298706056,8.06
S,2008,295977500127.87976,41,1245.556458752977,1.278038166463375,7.476851851851852
S,2009,374088000109.44006,38,1085.468622823451,1.4200530052185059,7.987193362193362
S,2010,704085135687.5847,41,1275.8792489851448,1.7633156946727209,11.465867465867465
S,2011,1344913867510.8945,72,2211.3174300586284,1.5339332156711156,12.450190985485104
S,2012,53790433111.31782,10,310.1222245606056,1.4434790015220642,5.666666666666666
S,2013,739669367700.5664,54,1661.8596183935654,1.5451414755412511,10.364411027568922
S,2014,795913780791.3015,48,1422.5487742910589,1.3589749534924824,17.827272727272728
S,2015,895084078212.2106,56,1725.9028272444455,1.4560685873031616,16.674003623188405
S,2016,1047819119050.6327,59,1815.232041788728,1.567095594746726,13.557733619763695
S,2017,1385758882108.104,68,2083.22125728304,1.506297508875529,14.506424825174825
S,2018,488139160963.578,15,453.3904311932747,1.6348731915156047,24.666666666666668
S,2019,56625752500.94244,10,306.75123230489964,1.1297846794128419,7.75
S,2020,992130713468.8495,77,2310.784300218185,1.3820358406413686,11.142178932178933
S,2021,292759760567.8429,29,847.8034168780364,1.276732047398885,9.187091503267974
S,2022,802424201613.1844,56,1648.406424812937,1.4989728927612305,28.54008506113769
S,2023,2222859481303.893,78,2379.868401122654,1.443345445394516,33.00146799460525
S,2024,1526489453332.309,42,1243.8836389500932,1.2815651819109917,22.450396825396826
S,2025,1256902280022.42,83,2445.639788106069,1.3521401286125183,16.137831196581196
