season,Year,NW,SW,S
JJA,2013,151893352527.84702,18749675655.473286,44423836359.115265
JJA,2014,116583506946.98799,2199479185.1666155,0
JJA,2015,32274094629.053474,29283507985.64058,78346527407.02621
JJA,2016,111305108754.79092,81945976485.42494,127352544279.18129
JJA,2017,17577352054.021904,57812917343.680534,122505568500.80672
JJA,2018,72096302458.89508,1670938084.565712,0
JJA,2019,14586157308.425106,0,0
JJA,2020,135864147553.2604,74175223710.47635,103151965186.03133
JJA,2021,573854495.5974572,0,0
JJA,2022,195961760274.98547,34164754232.368797,49827407783.92772
JJA,2023,213569571190.79715,99771526615.32947,80907053559.9656
JJA,2024,0,1318555769.9552264,0
JJA,2025,4271942611.7989,40455745834.8621,136257191589.5592
SON,1981,0,5171220091.253387,332846750.9602504
SON,1982,0,0,27544098533.143974
SON,1983,58710399521.12555,108856262843.5925,14785996603.784184
SON,1984,0,0,0
SON,1985,0,1638305720.2539926,4983966890.385377
SON,1986,54548171305.46091,4930168856.298706,0
SON,1987,9031594543.093473,66868272515.58176,51118783822.36244
SON,1988,41806408789.83174,54392757576.59128,0
SON,1989,4013129230.3143973,43293812397.19511,26585203010.05112
SON,1990,0,30148986663.99364,0
SON,1991,297972750901.82764,140832488741.15167,31386551530.50164
SON,1992,0,0,0
SON,1993,0,0,0
SON,1994,0,0,0
SON,1995,25326868705.275696,153733547823.8589,61045479054.36252
SON,1996,0,0,0
SON,1997,74246917335.72147,15530035435.005507,64025527725.32543
SON,1998,0,0,0
SON,1999,130537625091.70865,15126334065.77209,0
SON,2000,0,0,0
SON,2001,0,2241190181.0826044,0
SON,2002,54769428408.17407,28417417764.76623,0
SON,2003,113375272210.5298,20821586687.965088,639476818.0660021
SON,2004,0,5496507627.152847,0
SON,2005,0,6371123099.717659,0
SON,2006,661434812622.4869,295044959612.5843,121169047309.24857
SON,2007,0,15384464727.185158,33333889579.06495
SON,2008,5527242538.702925,0,3561304721.616319
SON,2009,165803710130.95142,76372957491.07823,8841678582.722801
SON,2010,26907226458.869987,3064079621.3328495,17293828730.319946
SON,2011,30677998408.49853,67880636630.13388,80262729026.04565
SON,2012,58029930294.21053,107307655562.38681,0
SON,2013,84087986364.5137,80334333849.51343,145369574415.0005
SON,2014,953573323653.1545,435842578428.0396,79700362418.45865
SON,2015,197552433671.39044,98190674775.65727,26393508149.861786
SON,2016,0,20470125125.753433,51223481735.57875
SON,2017,0,8521366226.18156,145266808053.14923
SON,2018,0,35726651640.51204,136143313854.79501
SON,2019,0,0,12619516061.97784
SON,2020,1751635350.459076,888228060.6592228,25352425946.793373
SON,2021,199928141286.4926,56449521251.76877,12416687435.453667
SON,2022,356576095497.6624,47159848639.52155,36664286942.71554
SON,2023,982047879309.4293,209231287361.36166,106863922709.19205
SON,2024,98124576413.35718,62605732031.50781,29319593116.891396
SON,2025,3974362435.608865,1709498303.3424964,56944449920.202675
