Zone,Year,activity_total,events_total,area_total_km2,intensity_mean_degC,duration_mean_days
SW,2009,544347320512.6464,30,1482.5067235184533,1.7294382750988007,12.010281385281386
SW,2010,299244289189.19,32,1486.0088372594669,1.2956303755442302,7.246666666666667
SW,2011,1440098475424.7056,60,2911.2110917869045,1.5213814973831177,14.825396825396826
SW,2012,316426824981.0782,21,1083.195148339596,1.7760049104690552,11.116666666666667
SW,2013,263112956070.71164,24,1071.592769582016,1.5048474073410034,12.075
SW,2014,1058123428886.2245,32,1529.7518825657112,1.960445809364319,14.242857142857144
SW,2015,664082249565.4159,60,2941.4948706777714,1.4440465370814006,13.136532738095237
SW,2016,779627743320.1735,42,1880.3542985863842,1.5383809208869934,11.93930375180375
SW,2017,476416676037.44434,37,1716.810261070146,1.5354388356208801,9.09047619047619
SW,2018,98361502478.67688,8,343.7392228065846,1.6120388905207315,9.944444444444445
SW,2019,7474665067.086065,2,74.15159728321704,0.9574408531188965,6
SW,2020,406574465295.01697,32,1529.7568868875724,1.5149388313293457,7.833333333333333
SW,2021,345433506297.92883,26,1266.9118527154662,1.385097622871399,13.976190476190474
SW,2022,337907590689.3662,35,1757.1103407110136,1.4638810634613038,23.324444444444445
SW,2023,1474905704000.433,85,4095.6147067169613,1.4501449194821443,21.913750954927426
SW,2024,1235104003100.6382,48,2335.0271435641916,1.334428146481514,17.817063492063493
SW,2025,247077403458.04865,29,1470.6744645660772,1.3148421943187714,9.652777777777777
S,1981,4679380352.144885,1,32.023208888210064,1.5519506931304932,5
S,1982,68488390487.31342,9,305.05196882217433,1.8724476099014282,6.3
S,1983,80023058806.54332,12,397.752977721148,1.5787542462348938,6.690476190476191
S,1984,0,0,0,NA,NA
S,1985,10794074921.496136,2,70.78365330773369,1.5984832048416138,5.5
S,1986,0,0,0,NA,NA
S,1987,160612106485.17804,16,525.8458132739883,1.5523561477661132,7.916666666666667
S,1988,9547623579.887533,1,35.39182665386666,1.857329249382019,8
S,1989,228879624397.9865,12,397.75297772114766,1.9679604768753052,11.544444444444444
S,1990,77219102235.61938,9,301.6833510565176,1.5513094663619995,7.083333333333334
S,1991,146006993087.7057,10,326.9693244134143,1.8973320722579956,10.916666666666668
S,1992,0,0,0,NA,NA
S,1993,19041280989.65789,3,99.43824443028694,1.6398207545280457,5.666666666666667
S,1994,10807191933.538095,3,102.80686219594337,1.0828888416290283,5.666666666666667
S,1995,192513074847.81644,21,699.4363287776656,1.3899412870407104,9.831428571428571
S,1996,176450267199.35297,21,696.0677110120085,1.6014511982599895,7.925925925925926
S,1997,384406872578.1177,34,1125.843897621367,1.4288755655288696,10.662896825396826
S,1998,179294543725.87683,16,529.214431039645,1.2884667714436848,14.45
S,1999,13716944910.953238,3,99.43824443028711,1.2319815158843994,6
S,2000,69134099459.92622,9,298.3147332908609,1.563796838124593,7
S,2001,0,0,0,NA,NA
S,2002,29831684831.21893,8,269.6601421683074,0.9745301306247711,5.833333333333334
S,2003,56066463374.97633,6,195.50787109491728,2.004909098148346,6.375
S,2004,9009836568.333384,3,99.438244430287,0.8572930097579956,5.333333333333333
S,2005,177472308441.25665,10,333.7065599447276,1.760834813117981,9.190476190476192
S,2006,566697933759.1873,30,997.7510620685263,1.9557931224505107,13.420634920634921
S,2007,109217867198.35422,15,493.82260438577805,1.411677822470665,8.475
S,2008,159563338178.27402,16,532.5830488053017,1.7396060994693212,9.8125
S,2009,101175573425.97702,9,294.94611552520433,1.872541069984436,7.944444444444445
S,2010,336597473328.24,20,670.7817376551121,1.9088743754795618,11.326530612244898
S,2011,736689129118.1156,27,901.6814354038963,1.7208882570266724,16.90595238095238
S,2012,28870651392.5089,5,163.4846622067073,1.7071218490600586,5.4
S,2013,387155239989.41394,24,792.1373376766395,1.8264965812365215,10.572222222222223
S,2014,164459148489.1864,13,429.7761866093581,1.6836171627044678,13.5
S,2015,454097324787.1255,26,859.552373218716,1.6896085739135742,19.883333333333333
S,2016,549868069645.4662,25,841.0036353931329,1.7129115036555698,15.505952380952381
S,2017,666438203118.9932,34,1132.58113315268,1.6896142810583115,16.358333333333334
S,2018,237202354829.5533,6,198.87648886057391,2.4775617122650146,25.166666666666668
S,2019,41874261032.30842,5,170.2218977380204,1.5908172726631165,6.625
S,2020,380362190107.12225,27,894.944199872583,1.5962042659521103,12.152380952380952
S,2021,101525136394.53198,8,262.9229066369942,1.3894660472869873,11.416666666666666
S,2022,139429560119.95346,16,532.5830488053018,1.684007787704468,13.133333333333333
S,2023,613898304870.1278,33,1093.8206887331567,1.5786947740448847,27.98392857142857
S,2024,569182276986.1002,14,468.5366310288814,1.355001966158549,34.68333333333334
S,2025,457721426102.2208,26,862.9209909843728,1.7945330341657002,10.677083333333334
