time_start,time_end,time_peak,date_start,date_end,date_peak,index_start,index_end,index_peak,duration,duration_moderate,duration_strong,duration_severe,duration_extreme,intensity_max,intensity_mean,intensity_var,intensity_cumulative,intensity_max_relThresh,intensity_mean_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_max_abs,intensity_mean_abs,intensity_var_abs,intensity_cumulative_abs,category,rate_onset,rate_decline,n_events,lat,lon
738773.0,738777.0,738774.0,2023-09-10,2023-09-14,2023-09-11,252.0,256.0,253.0,5.0,5.0,0.0,0.0,0.0,1.2372677710748476,1.0566175891507066,0.09960550355175372,5.2830879457535325,0.2890958478373875,0.11123824581023314,0.09796452189869316,0.5561912290511657,23.269999,23.087997,0.100677446,115.43999,Moderate,0.21560086486159946,0.08269903297248403,3,36.125,350.875
738781.0,738885.0,738811.0,2023-09-18,2023-12-31,2023-10-18,260.0,364.0,290.0,105.0,35.0,70.0,0.0,0.0,2.11442122920867,1.7416008751513226,0.22111312036317746,182.86809189088888,1.218355055778261,0.8812384234778533,0.22217285281144972,92.5300344651746,23.23,21.587141,1.5630133,2266.65,Strong,0.03821902625589764,0.005940914569778279,3,36.125,350.875
738521.0,738716.0,738521.0,2023-01-01,2023-07-15,2023-01-01,0.0,195.0,0.0,196.0,116.0,53.0,26.0,0.0,2.4254113474199848,1.5890732806634562,0.3921939481531915,311.45836301003743,1.8087740867368645,0.797493984857777,0.41635590527176847,156.30882103212429,19.73,19.230152,1.6070414,3769.1099,Severe,0.0,0.007971020640245846,2,36.125,351.125
738773.0,738885.0,738839.0,2023-09-10,2023-12-31,2023-11-15,252.0,364.0,318.0,113.0,39.0,72.0,0.0,0.0,2.291821141396799,1.7122812301065122,0.31329747231864036,193.4877790020359,1.3971937241092824,0.837350637341717,0.32298666738547205,94.62062201961402,21.9,21.730267,1.5446181,2455.52,Strong,0.019270812022347684,0.015652179049241703,2,36.125,351.125
738521.0,738714.0,738521.0,2023-01-01,2023-07-13,2023-01-01,0.0,193.0,0.0,194.0,121.0,44.0,26.0,0.0,2.424449736072173,1.5337621874693508,0.4186293729780161,297.54986436905403,1.800290630709739,0.7497996104132275,0.4420492678359936,145.46112442016613,19.75,19.193916,1.6198243,3723.6199,Severe,0.0,0.008299147992310182,3,36.125,351.375
738773.0,738778.0,738774.0,2023-09-10,2023-09-15,2023-09-11,252.0,257.0,253.0,6.0,6.0,0.0,0.0,0.0,1.4069103117912078,1.1391990005329102,0.13077681595263294,6.835194003197461,0.4407743023287871,0.17371489412041127,0.13043831288655755,1.0422893647224676,23.56,23.283333,0.13767934,139.7,Moderate,0.2498399262787198,0.09571097999490756,3,36.125,351.375
738783.0,738885.0,738839.0,2023-09-20,2023-12-31,2023-11-15,262.0,364.0,318.0,103.0,55.0,48.0,0.0,0.0,2.3960602668023867,1.7070774116599752,0.300531314266474,175.82897340097745,1.4670326479019664,0.8234890174089173,0.29380787274675263,84.81936879311849,22.0,21.53719,1.4875687,2218.3306,Strong,0.02521196855941973,0.01923720131080911,3,36.125,351.375
738521.0,738710.0,738637.0,2023-01-01,2023-07-09,2023-04-27,0.0,189.0,116.0,190.0,124.0,35.0,26.0,0.0,2.4028557808168465,1.4937787274553338,0.4318316988911266,283.81795821651343,1.5458698272705078,0.7150756742027301,0.44625780060065845,135.86437809851873,19.689999,19.122843,1.634152,3633.34,Severe,0.0004225503881197839,0.020889329104562673,3,36.125,351.625
738773.0,738778.0,738774.0,2023-09-10,2023-09-15,2023-09-11,252.0,257.0,253.0,6.0,6.0,0.0,0.0,0.0,1.3022681205503446,1.0642827146796794,0.11317865466313874,6.385696288078076,0.35771000769830863,0.11900562368413503,0.11378706576299642,0.7140337421048102,23.58,23.324999,0.1259301,139.95,Moderate,0.22809475724415287,0.08686238634116389,3,36.125,351.625
738788.0,738885.0,738842.0,2023-09-25,2023-12-31,2023-11-18,267.0,364.0,321.0,98.0,64.0,34.0,0.0,0.0,2.379286243069558,1.6310326191372913,0.3067050303886076,159.84119667545454,1.386807349420362,0.7250690962469373,0.2934137181334722,71.05677143219985,21.77,21.338982,1.416462,2091.2202,Strong,0.02648626272760931,0.02112941355608679,3,36.125,351.625
738521.0,738580.0,738521.0,2023-01-01,2023-03-01,2023-01-01,0.0,59.0,0.0,60.0,21.0,12.0,24.0,0.0,2.306062698364258,1.5204412983309838,0.5902056535459518,91.22647789985903,1.6513556203534563,0.8610816412074593,0.6196568614002956,51.66489847244756,19.6,18.121832,0.9001249,1087.3099,Severe,0.0,0.026378458384479987,3,36.125,351.875
738586.0,738709.0,738637.0,2023-03-07,2023-07-08,2023-04-27,65.0,188.0,116.0,124.0,96.0,27.0,0.0,0.0,2.352737242175685,1.476261678769115,0.34327369736211744,183.05644816737026,1.5103868669079183,0.6484641296930549,0.29722001800327746,80.40955208193881,19.65,19.670162,1.7601494,2439.1,Strong,0.03175753752639434,0.020185664498368366,3,36.125,351.875
738791.0,738885.0,738842.0,2023-09-28,2023-12-31,2023-11-18,270.0,364.0,321.0,95.0,75.0,20.0,0.0,0.0,2.246657956031058,1.5467865935812986,0.3059267437660908,146.94472639022337,1.2195815424765293,0.6269935458949152,0.2979621250410672,59.564386860016945,21.6,21.156214,1.3503754,2009.8403,Strong,0.023617532086753136,0.017757096687654506,3,36.125,351.875
738521.0,738570.0,738521.0,2023-01-01,2023-02-19,2023-01-01,0.0,49.0,0.0,50.0,15.0,16.0,18.0,0.0,2.3004145468434984,1.6371244209043443,0.49799644773813884,81.85622104521721,1.6186129047024629,0.9325038306943841,0.5198380141775979,46.62519153471921,19.57,18.2904,0.7890322,914.51996,Severe,0.0,0.032367412334701924,4,36.125,352.125
738589.0,738628.0,738621.0,2023-03-10,2023-04-18,2023-04-11,68.0,107.0,100.0,40.0,32.0,6.0,0.0,0.0,1.587535242880545,1.146531315772765,0.23847070950058083,45.8612526309106,0.9045164046749008,0.4482385158538828,0.24373997650585638,17.929540634155313,18.42,17.772251,0.3543902,710.89,Strong,0.022405273210322027,0.09434697961294512,4,36.125,352.125
738632.0,738711.0,738704.0,2023-04-22,2023-07-10,2023-07-03,111.0,190.0,183.0,80.0,43.0,37.0,0.0,0.0,2.2619270816926047,1.72499903786567,0.2850085879876888,137.9999230292536,1.3900652239399562,0.8449845490917092,0.2864164930550015,67.59876392733673,23.43,20.963375,1.3735418,1677.07,Strong,0.02093859238672311,0.17139559099751125,4,36.125,352.125
738799.0,738885.0,738845.0,2023-10-06,2023-12-31,2023-11-21,278.0,364.0,324.0,87.0,71.0,16.0,0.0,0.0,2.096491659841231,1.5207373011231564,0.27456335643728375,132.3041451977146,1.0695482684719977,0.5978694996393564,0.28289067873575185,52.01464646862401,21.23,20.889196,1.2398075,1817.3601,Strong,0.02500779836325854,0.013706384166594443,4,36.125,352.125
738521.0,738562.0,738521.0,2023-01-01,2023-02-11,2023-01-01,0.0,41.0,0.0,42.0,16.0,22.0,4.0,0.0,2.324263418874434,1.753411958111414,0.3957134777641208,73.64330224067939,1.6118707349223484,1.011379203854985,0.40508707506428504,42.477926561909364,19.56,18.453333,0.6634529,775.04,Severe,0.0,0.03556235069159259,4,36.125,352.375
738589.0,738628.0,738621.0,2023-03-10,2023-04-18,2023-04-11,68.0,107.0,100.0,40.0,30.0,8.0,0.0,0.0,1.5668053780832594,1.121861883901781,0.26389190635085974,44.874475356071244,0.8803226101783004,0.42262254838020574,0.2727496576293894,16.90490193520823,18.4,17.742,0.37228492,709.68,Strong,0.025190339194929617,0.10867669300366459,4,36.125,352.375
738633.0,738717.0,738699.0,2023-04-23,2023-07-16,2023-06-28,112.0,196.0,178.0,85.0,33.0,52.0,0.0,0.0,2.4968405077534364,1.831167014047815,0.2890483918601022,155.64919619406427,1.616452186338364,0.946486382963989,0.29565799719752256,80.45134255193906,23.51,21.31694,1.5327637,1811.94,Strong,0.026176832441042706,0.08444398781893683,4,36.125,352.375
738800.0,738885.0,738866.0,2023-10-07,2023-12-31,2023-12-12,279.0,364.0,345.0,86.0,68.0,16.0,0.0,0.0,2.0392889207409297,1.4801686559506857,0.2825471511524997,127.29450441175896,1.2029038706133477,0.5563472467352385,0.31816987873411584,47.84586321923051,20.01,20.782673,1.1730276,1787.3099,Strong,0.016835317489102226,0.02140505649845144,4,36.125,352.375
738521.0,738562.0,738521.0,2023-01-01,2023-02-11,2023-01-01,0.0,41.0,0.0,42.0,18.0,23.0,1.0,0.0,2.3127522007111594,1.7250843707317582,0.43615212544523274,72.45354357073384,1.568065397201046,0.9568624467161219,0.43643651640703734,40.18822276207712,19.52,18.395475,0.70066017,772.61,Severe,0.0,0.03705529095456613,6,36.125,352.625
738589.0,738616.0,738609.0,2023-03-10,2023-04-06,2023-03-30,68.0,95.0,88.0,28.0,21.0,7.0,0.0,0.0,1.5327601894255594,1.1587105830144229,0.22729727406615585,32.44389632440384,0.8432898367604906,0.44753455236760165,0.24928461798713356,12.530967466292847,18.13,17.647142,0.3332937,494.12,Strong,0.03813495380872801,0.10224765244350588,6,36.125,352.625
738620.0,738628.0,738621.0,2023-04-10,2023-04-18,2023-04-11,99.0,107.0,100.0,9.0,7.0,2.0,0.0,0.0,1.5703636907762117,1.2317256448943992,0.21347081211496238,11.085530804049593,0.873612619215443,0.5096774084166391,0.2278207642059233,4.587096675749752,18.39,18.127777,0.17905812,163.15,Strong,0.4716322704028073,0.11846948849257614,6,36.125,352.625
738634.0,738733.0,738714.0,2023-04-24,2023-08-01,2023-07-13,113.0,212.0,193.0,100.0,37.0,63.0,0.0,0.0,2.6688303178356527,1.9000538530657374,0.32866566159024335,190.00538530657374,1.6743862398209117,0.9787223754390602,0.34913209909910686,97.87223754390601,24.449999,21.868097,1.7536657,2186.8098,Strong,0.021026949155452467,0.08187921427812721,6,36.125,352.625
738801.0,738816.0,738812.0,2023-10-08,2023-10-23,2023-10-19,280.0,295.0,291.0,16.0,16.0,0.0,0.0,0.0,1.5417383870770855,1.2860606947252846,0.18496422172839824,20.576971115604554,0.5959348986225734,0.3381714013315027,0.186255884655207,5.410742421304043,22.449999,22.3675,0.15047854,357.88,Moderate,0.05516158715203962,0.1073474200395693,6,36.125,352.625
738823.0,738885.0,738866.0,2023-10-30,2023-12-31,2023-12-12,302.0,364.0,345.0,63.0,40.0,21.0,0.0,0.0,2.1161922331779266,1.5373486969572314,0.30430642254093354,96.85296790830557,1.278354767830141,0.6341417852695704,0.35513896463262146,39.95093247198294,20.06,20.179682,0.7522727,1271.32,Strong,0.027142950106780993,0.02186988934191466,6,36.125,352.625
738521.0,738562.0,738534.0,2023-01-01,2023-02-11,2023-01-14,0.0,41.0,13.0,42.0,18.0,23.0,1.0,0.0,2.3141869575746625,1.7127459785355956,0.47883807131327155,71.93533109849501,1.5384840811452563,0.9517738617693409,0.47004810434476796,39.974502194312315,19.08,18.32595,0.74256015,769.68994,Severe,0.003813637101620825,0.05583095280680209,6,36.125,352.875
738589.0,738616.0,738609.0,2023-03-10,2023-04-06,2023-03-30,68.0,95.0,88.0,28.0,21.0,7.0,0.0,0.0,1.546338604342555,1.1809256966762287,0.21629741893731314,33.06591950693441,0.8581293167606461,0.47523239900439573,0.23251384681414253,13.30650717212308,18.09,17.615356,0.31381837,493.22998,Strong,0.03439993149271926,0.10657208350396938,6,36.125,352.875
738620.0,738628.0,738621.0,2023-04-10,2023-04-18,2023-04-11,99.0,107.0,100.0,9.0,7.0,2.0,0.0,0.0,1.5763426749937004,1.2247848032195945,0.21191834860550074,11.023063228976351,0.8732261657714844,0.487921014054274,0.2321979523632244,4.391289126488466,18.34,18.065557,0.17531641,162.59001,Strong,0.4848867231799711,0.11732388157998368,6,36.125,352.875
738633.0,738737.0,738714.0,2023-04-23,2023-08-05,2023-07-13,112.0,216.0,193.0,105.0,43.0,61.0,1.0,0.0,3.0748949358540223,1.951031743765977,0.39796638534163975,204.85833309542758,2.080452457551033,1.0079035886421732,0.38692778613153733,105.82987680742818,24.84,21.963238,1.9542011,2306.14,Severe,0.028169517962502763,0.08366786901805215,6,36.125,352.875
